Datetime,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2025-06-25 13:30:00+00:00,201.56500244140625,201.91990661621094,201.1999969482422,201.4199981689453,1520690
2025-06-25 13:31:00+00:00,202.5,202.60000610351562,201.55999755859375,201.56500244140625,475650
2025-06-25 13:32:00+00:00,202.57000732421875,203.0,202.35000610351562,202.50999450683594,382540
2025-06-25 13:33:00+00:00,202.81500244140625,202.8300018310547,202.2899932861328,202.625,322340
2025-06-25 13:34:00+00:00,202.87159729003906,202.91000366210938,202.6300048828125,202.80499267578125,312869
2025-06-25 13:35:00+00:00,202.85000610351562,203.1999969482422,202.72999572753906,202.86500549316406,406836
2025-06-25 13:36:00+00:00,203.3800048828125,203.66000366210938,202.80999755859375,202.85000610351562,478273
2025-06-25 13:37:00+00:00,202.9600067138672,203.4199981689453,202.79750061035156,203.3800048828125,263080
2025-06-25 13:38:00+00:00,202.96499633789062,203.03990173339844,202.7100067138672,202.94900512695312,171907
2025-06-25 13:39:00+00:00,202.8699951171875,203.1199951171875,202.85000610351562,202.9405975341797,164854
2025-06-25 13:40:00+00:00,202.64500427246094,202.9199981689453,202.58999633789062,202.88499450683594,251763
2025-06-25 13:41:00+00:00,202.2949981689453,202.7100067138672,202.22000122070312,202.66000366210938,256621
2025-06-25 13:42:00+00:00,202.14999389648438,202.32000732421875,202.02499389648438,202.30999755859375,229339
2025-06-25 13:43:00+00:00,202.12969970703125,202.27980041503906,202.0800018310547,202.16000366210938,159825
2025-06-25 13:44:00+00:00,202.26519775390625,202.27000427246094,202.0399932861328,202.125,154660
2025-06-25 13:45:00+00:00,202.6699981689453,202.8000030517578,202.22000122070312,202.2550048828125,281557
2025-06-25 13:46:00+00:00,202.47500610351562,202.76449584960938,202.46499633789062,202.63999938964844,121100
2025-06-25 13:47:00+00:00,202.5093994140625,202.59539794921875,202.1649932861328,202.39999389648438,231096
2025-06-25 13:48:00+00:00,201.97999572753906,202.50999450683594,201.9199981689453,202.50999450683594,218045
2025-06-25 13:49:00+00:00,202.25999450683594,202.25999450683594,201.9499969482422,201.98500061035156,178349
2025-06-25 13:50:00+00:00,202.39999389648438,202.39999389648438,202.0,202.22500610351562,199327
2025-06-25 13:51:00+00:00,202.44000244140625,202.5,202.25999450683594,202.3699951171875,100963
2025-06-25 13:52:00+00:00,202.3699951171875,202.47999572753906,202.19000244140625,202.42999267578125,122539
2025-06-25 13:53:00+00:00,202.43499755859375,202.5,202.35009765625,202.3699951171875,132594
2025-06-25 13:54:00+00:00,202.48019409179688,202.56500244140625,202.27999877929688,202.44500732421875,163171
2025-06-25 13:55:00+00:00,202.1417999267578,202.49989318847656,202.1417999267578,202.46499633789062,107934
2025-06-25 13:56:00+00:00,201.97999572753906,202.24000549316406,201.97500610351562,202.14999389648438,127254
2025-06-25 13:57:00+00:00,202.07040405273438,202.16000366210938,201.95030212402344,201.96400451660156,80615
2025-06-25 13:58:00+00:00,201.82000732421875,202.08999633789062,201.80999755859375,202.07249450683594,107523
2025-06-25 13:59:00+00:00,201.7899932861328,201.8800048828125,201.6699981689453,201.8000030517578,107426
2025-06-25 14:00:00+00:00,201.5312042236328,201.75999450683594,201.47500610351562,201.75999450683594,204415
2025-06-25 14:01:00+00:00,201.72999572753906,201.7449951171875,201.52000427246094,201.539306640625,112637
2025-06-25 14:02:00+00:00,201.62600708007812,201.73129272460938,201.5500030517578,201.7100067138672,82941
2025-06-25 14:03:00+00:00,201.3800048828125,201.5399932861328,201.35000610351562,201.50619506835938,147882
